   score gates | sem evi mcp con sch cal wf eff | team
   63.05     0 | 45.3 65.4 92.2 86.0 92.2 43.8 92.2 25.8 | h210-02754
   62.97     0 | 40.8 79.9 92.1 89.1 92.1 54.2 92.1 0.0 | h210-02528
   62.28     0 | 35.0 78.9 92.1 89.0 92.1 63.7 92.1 27.0 | h209-02489
   61.89     0 | 34.7 82.0 92.1 84.1 92.1 85.6 92.1 0.0 | h210-02390
   61.52     0 | 26.0 81.0 92.0 92.0 92.0 77.3 92.0 57.7 | h210-02974
   59.61     0 | 25.6 80.5 91.8 91.8 91.8 58.5 91.8 45.0 | h209-02678
   53.24     0 | 34.1 34.4 91.2 60.8 91.2 34.2 91.2 77.2 | h209-02576
   49.92     0 | 4.9 47.8 90.7 90.7 90.7 89.8 90.7 90.7 | h201-03006
   48.96    10 | 28.5 63.5 72.5 72.5 72.5 29.5 72.5 24.2 | h209-02879
   45.93    23 | 46.9 43.8 48.7 48.7 48.7 48.0 48.7 23.4 | h209-02859
   24.83    35 | 24.8 24.3 25.3 24.8 25.3 25.3 25.3 23.6 | h210-02647
   16.89    33 | 9.3 23.9 26.9 24.3 26.9 8.7 26.9 0.0 | h210-02535
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02544
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02561
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02882
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02406
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02821
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h201-02857
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h201-02415
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02373
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02580
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02835
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02505
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02407
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02667
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02936
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02719
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h201-02367
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02412
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02873
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02459
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-12345
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02557
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02631
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02862
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02837
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02608
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02650
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02748
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02787
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-03016
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02574
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02917
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02509
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02474
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02639
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02420
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02715
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02992
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02600
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02701
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02977
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02965
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02855
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02657
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02630
